	Cis_wide	Cis_narrow	Trans_wide	Trans_narrow
0	1.00000000	0.83001687	2.12101851	1.91584661
0	1.01429134	0.82043429	2.09664749	1.88771495
280	0.38197314	0.23501963	1.99278533	1.75473796
345	0.42827886	0.26685379	2.00824973	1.75651243
411	0.44546361	0.28834340	1.96768000	1.73059704
476	0.45280125	0.29400095	1.92078801	1.68211513
541	0.47331409	0.32284512	1.91826067	1.67152343
606	0.49371965	0.33577323	1.90711918	1.66384953
671	0.48864728	0.32961322	1.86431297	1.63106116
736	0.52150368	0.35560976	1.86509095	1.62463782
801	0.51811075	0.35521129	1.82932668	1.60148361
866	0.52190636	0.37132331	1.80632674	1.58787199
931	0.56757833	0.39198422	1.79591709	1.57549940
996	0.56128212	0.38494780	1.76255518	1.52388356
1061	0.56278477	0.39717336	1.74076425	1.53003812
1126	0.59656366	0.42028858	1.77209034	1.54070641
1191	0.62417322	0.43892946	1.74315710	1.53084088
1256	0.60995982	0.42525727	1.72327724	1.51014857
1321	0.62638210	0.45273933	1.71053311	1.50533311
1386	0.61648741	0.45199083	1.69135395	1.49215080
1451	0.66473707	0.46615047	1.68814475	1.48438583
1516	0.67381955	0.47322071	1.67699811	1.46957569
1581	0.65112809	0.46967309	1.69367823	1.46938641
1646	0.68664099	0.47407010	1.67209177	1.46416357
1711	0.66727179	0.48845912	1.67264135	1.45302246
1776	0.67994582	0.49167968	1.62031778	1.43404049
1841	0.69454557	0.50523530	1.68161974	1.45375912
1906	0.70048419	0.50722786	1.64343597	1.42479554
1971	0.70523941	0.49905480	1.64246160	1.43831331
2036	0.68740761	0.50412113	1.63384626	1.41909818
2101	0.70869241	0.51722913	1.64517683	1.43026538
2166	0.70745074	0.51533493	1.61189540	1.40919628
2231	0.71595482	0.52610701	1.61350045	1.41725654
2296	0.70767263	0.51485639	1.60116557	1.39915115
2361	0.73880077	0.52604471	1.59443807	1.39829998
2426	0.69676727	0.51326173	1.62177451	1.40145427
2492	0.72604676	0.51993519	1.58118817	1.39566797
2557	0.73247968	0.53836075	1.58440574	1.38268048
2622	0.75204957	0.55529131	1.58607966	1.38843710
2687	0.75163062	0.54465912	1.61939840	1.39848765
2752	0.75868762	0.55235850	1.60061954	1.40019954
2817	0.74830055	0.53645662	1.62896916	1.41611718
2882	0.76386497	0.55530590	1.60188895	1.39616111
2947	0.77011691	0.55912278	1.56612550	1.36261310
3012	0.76483101	0.55168438	1.62198218	1.41189472
3077	0.76175359	0.55367319	1.57544962	1.37856002
3142	0.73270690	0.55111037	1.58238110	1.37625893
3207	0.75339931	0.55760475	1.62409335	1.40155897
3272	0.77774499	0.56448851	1.59232169	1.38864832
3337	0.76681343	0.55808675	1.58332774	1.37787064
3402	0.78425508	0.56813544	1.56624940	1.36980767
3467	0.74734968	0.54842496	1.60353713	1.37925139
3532	0.77189081	0.56703542	1.60217646	1.39508138
4065	0.79176042	0.56966758	1.57141660	1.36284712
4130	0.79066178	0.56360252	1.60121055	1.38773435
4195	0.78523754	0.56722398	1.60828740	1.39536886
4260	0.78926253	0.56716744	1.57566691	1.37076692
4325	0.75973221	0.56466792	1.56210773	1.36643624
4390	0.76075134	0.56048967	1.55638244	1.35026260
4455	0.77775887	0.56542054	1.55318267	1.36250992
4520	0.76749518	0.55883868	1.56431471	1.36779734
4585	0.76754857	0.56751331	1.56031829	1.35403159
4650	0.78870218	0.56453651	1.56889328	1.36832364
4715	0.80409584	0.58320708	1.58016180	1.37313763
4780	0.77476415	0.57901951	1.57278810	1.36297184
4845	0.78328243	0.57214889	1.56243963	1.34912326
4910	0.79288933	0.57443039	1.56865570	1.36335383
4975	0.78131508	0.57396791	1.56635686	1.36751972
5040	0.80800522	0.57323618	1.55517770	1.35868487
5105	0.77953387	0.58223498	1.58168767	1.35997171
5170	0.79061699	0.57322222	1.53807147	1.33357475
5235	0.79839747	0.58288714	1.55274262	1.35391261
5300	0.76355909	0.57435107	1.55974396	1.36654732
5365	0.77374412	0.57507026	1.58801297	1.37792895
5430	0.77368963	0.57065997	1.56035745	1.35291617
5495	0.77922891	0.57298240	1.55434437	1.36462681
