	Cis_wide	Cis_narrow	Trans_wide	Trans_narrow
5560	0.82820316	0.59299591	1.53326764	1.33861019
5625	0.77785006	0.57421721	1.57800820	1.37508615
5690	0.78259408	0.57974991	1.55757532	1.34948727
5755	0.78187522	0.57047053	1.57681237	1.38427906
5820	0.79748731	0.58720094	1.55997102	1.35437167
5885	0.77304979	0.56691784	1.55550296	1.35821479
5950	0.79195980	0.57356209	1.55496842	1.35068956
6015	0.79019782	0.57544816	1.53885079	1.35119454
6080	0.79854333	0.58668337	1.54028930	1.34348865
6146	0.77589057	0.57404354	1.54829900	1.34229993
6211	0.78272209	0.57840660	1.52395802	1.33731524
6276	0.79977188	0.58789224	1.53979424	1.33898130
6341	0.79959920	0.57659908	1.54764210	1.33846025
6406	0.79188306	0.58170264	1.54280381	1.34555429
6471	0.80626680	0.57821615	1.54165804	1.34596643
6537	0.79002140	0.57676902	1.56967239	1.36202257
6602	0.79052558	0.57177906	1.56030882	1.36023364
6667	0.77797410	0.57608765	1.57761505	1.35726976
6733	0.76701282	0.56603410	1.55325287	1.35498787
6798	0.78879832	0.57250000	1.54955603	1.34521363
6863	0.78975593	0.57577294	1.53947875	1.35092503
6928	0.78677896	0.56846647	1.55568396	1.36250051
6993	0.78254174	0.57629001	1.55706781	1.35920513
7058	0.82830594	0.57513075	1.55299852	1.33798433
7123	0.76745992	0.56303560	1.50042900	1.32651667
7188	0.77764800	0.57430611	1.56513023	1.34912294
7253	0.79263792	0.57966560	1.54779977	1.35758026
7318	0.79452108	0.58365537	1.57460241	1.35923567
7383	0.79654421	0.58089016	1.54952347	1.34698711
7448	0.78774022	0.57373793	1.55529786	1.35476263
7514	0.77370457	0.57884327	1.55696709	1.35661670
7579	0.77749056	0.56823999	1.56526947	1.35999247
7644	0.79600303	0.56639507	1.56905215	1.36605851
7709	0.80502340	0.57141360	1.56442204	1.36055109
7774	0.78035469	0.58637214	1.57261017	1.36556594
7839	0.75642988	0.56805450	1.53198413	1.33715894
7904	0.79071578	0.56811683	1.51782542	1.33559162
7969	0.76485397	0.56529609	1.56200864	1.34942165
8034	0.76620522	0.55818572	1.55756645	1.35280950
8099	0.77940373	0.57252866	1.55531277	1.35755696
8164	0.78987414	0.57537416	1.53146310	1.34066001
8229	0.79471616	0.58179932	1.53246719	1.32700193
8294	0.76334946	0.56489746	1.54096039	1.35082868
8360	0.77533677	0.56917218	1.56416055	1.37069823
8425	0.79492093	0.56121494	1.54452662	1.34873274
8490	0.79750336	0.58776069	1.58004525	1.36372276
8555	0.79114298	0.57980937	1.55331079	1.35306187
8620	0.78984964	0.58111636	1.56060912	1.34442120
8685	0.76803311	0.57121243	1.58728210	1.37410167
8750	0.80855411	0.57500367	1.54123225	1.34941620
8815	0.76629638	0.57688719	1.56009956	1.36332550
8880	0.79316335	0.58188668	1.55279289	1.35630663
8945	0.79889943	0.57750133	1.56108782	1.34651205
9011	0.78677450	0.56945657	1.56076763	1.36548719
9076	0.79559520	0.57330002	1.56393293	1.35978633
9141	0.76466768	0.56458313	1.51527144	1.33490667
9206	0.79539845	0.57849872	1.54972564	1.35625982
9271	0.80012489	0.58406529	1.54510673	1.33262148
9336	0.78986776	0.57049785	1.53847104	1.34162424
9401	0.76415754	0.57050201	1.54128598	1.34211347
9466	0.75780971	0.56558618	1.54432027	1.34182232
9531	0.77671905	0.56836034	1.53330489	1.33750841
9597	0.78278389	0.57787676	1.54006392	1.34287259
9662	0.78806020	0.58004002	1.55457144	1.34444262
9727	0.79688075	0.59004489	1.53317816	1.34001060
9792	0.78724038	0.57361193	1.55149512	1.35099949
9857	0.78211028	0.57250629	1.56559360	1.35097670
9922	0.78016649	0.56629961	1.53914976	1.33930526
9988	0.77696727	0.58355690	1.54922816	1.34563521
10053	0.79448799	0.58131721	1.54929886	1.35359497
10118	0.78025716	0.57736044	1.55760586	1.35519069
10183	0.77414860	0.57285239	1.55577303	1.35766302
10248	0.78192507	0.58602943	1.51248700	1.32385488
10313	0.77106107	0.56623742	1.54352188	1.34180476
10378	0.76298436	0.56580558	1.53066571	1.33293161
10443	0.79877871	0.57409200	1.55196825	1.34662791
10508	0.78419959	0.56717594	1.53264720	1.31907247
10574	0.77744386	0.57197582	1.57004585	1.35404276
10639	0.75939700	0.57117541	1.59272377	1.37260581
10704	0.78238188	0.56214469	1.56790093	1.34961537
10769	0.78147451	0.57908644	1.54223104	1.35588108
10834	0.80261590	0.57502192	1.52397814	1.33166585
10899	0.78882831	0.58080172	1.54991583	1.35946164
10964	0.76993952	0.57489821	1.57123347	1.35879664
11029	0.79651442	0.57151418	1.57312647	1.37320575
11094	0.79025414	0.57458428	1.56418749	1.36790259
11159	0.77314039	0.57415931	1.53570284	1.33955599
11224	0.79037446	0.57540539	1.54126146	1.34666454
11289	0.77748082	0.57527561	1.57381629	1.35764250
11354	0.78782927	0.58086843	1.56040254	1.36084868
11419	0.76919694	0.56524686	1.53615635	1.33867929
11484	0.78505063	0.57760785	1.54061891	1.35132808
11549	0.76735561	0.57954047	1.53414276	1.34103436
11614	0.78133367	0.58373779	1.55968970	1.35958002
11679	0.77332001	0.56989043	1.54238974	1.34844601
11744	0.77572381	0.57062454	1.54840284	1.35376751
11809	0.77454625	0.56712560	1.55339548	1.36615794
11875	0.78622334	0.57948387	1.56363310	1.35883125
11940	0.77426953	0.56653013	1.54074042	1.35516747
12005	0.75723551	0.56898306	1.55225505	1.35067860
12070	0.76417213	0.57135185	1.53174116	1.32485933
12135	0.77388079	0.57407110	1.57756343	1.36457620
12200	0.78329790	0.56223612	1.54789522	1.34790876
12265	0.77870453	0.57334164	1.55120350	1.34941540
12330	0.78680937	0.56789645	1.55009038	1.36257584
12395	0.78695508	0.57197615	1.54121019	1.34059218
12460	0.76862551	0.56278053	1.57333599	1.36323623
12525	0.76684207	0.56060458	1.55338086	1.34257364
12590	0.76241599	0.56347571	1.56071468	1.37070050
12655	0.77588204	0.57665302	1.54053007	1.33623676
12721	0.79022717	0.58803676	1.56070087	1.35006569
12786	0.78860914	0.58015077	1.56279196	1.36627276
12851	0.78088716	0.57295023	1.58835266	1.37202730
12916	0.79159577	0.58001930	1.55343977	1.35756075
12981	0.81687210	0.58233850	1.54191442	1.34850674
13046	0.78883801	0.57454073	1.54778756	1.35578297
13111	0.78011559	0.57073035	1.54755847	1.34036573
13176	0.79501297	0.58332224	1.54792383	1.34456701
13241	0.80517581	0.58306024	1.55249812	1.34835036
13306	0.76966982	0.57218440	1.55048792	1.34865188
13372	0.77610080	0.56432834	1.56049127	1.35675128
13437	0.75259045	0.57472159	1.54809152	1.34971850
13502	0.79057881	0.56915135	1.54529598	1.34992318
13567	0.77725656	0.56917174	1.51543090	1.31931965
13632	0.79915692	0.57327601	1.54593188	1.33804097
13697	0.79952933	0.58063359	1.55379273	1.35418887
13762	0.80082620	0.58606609	1.52919864	1.33338239
13827	0.76937249	0.55595412	1.57424653	1.36573553
13892	0.75501666	0.56369628	1.54338941	1.35117778
13957	0.77756727	0.57718657	1.56680926	1.35871597
14022	0.77453988	0.57440691	1.54615364	1.35811586
14087	0.77652767	0.56916353	1.53701500	1.35170715
14152	0.79989439	0.57438827	1.54655237	1.34302138
14217	0.78824398	0.57805572	1.54362137	1.32812985
14283	0.79790122	0.58617052	1.52454169	1.33402347
14348	0.77535941	0.58559509	1.54808504	1.33958696
14413	0.79839061	0.58817515	1.54401076	1.34369677
14478	0.76768341	0.57616877	1.55230007	1.34794215
14543	0.76098022	0.56584483	1.52438712	1.33619887
14608	0.79504711	0.58727826	1.56915686	1.35964102
14673	0.78220138	0.57660412	1.56729267	1.36293863
14738	0.79018461	0.59411556	1.52232635	1.32948142
14803	0.77370515	0.55518119	1.55075449	1.35796223
14868	0.77400617	0.56754339	1.56083053	1.34524477
14933	0.77610956	0.55960578	1.56811201	1.36260065
14998	0.77969990	0.57606885	1.55553191	1.35423347
15063	0.74422526	0.56226967	1.56303029	1.35610852
15128	0.79276619	0.58692296	1.56135127	1.35385022
15193	0.78042940	0.56848970	1.53941123	1.34584862
15258	0.75937452	0.56218600	1.55712820	1.35199388
15323	0.79392747	0.57398677	1.56908656	1.36470875
15388	0.78631818	0.56778364	1.52875150	1.33409264
15453	0.78393952	0.56763254	1.55057072	1.34372896
15518	0.79221165	0.58169243	1.53367756	1.32995285
15583	0.79934776	0.57804914	1.57302267	1.37312495
15648	0.80348169	0.58485270	1.54750589	1.34618892
15713	0.78873438	0.58039159	1.55848351	1.37108318
15778	0.80546515	0.57238244	1.54504735	1.35327308
15843	0.77524552	0.56806664	1.53734972	1.33964917
15908	0.76756512	0.56582571	1.54847783	1.34240136
15974	0.77789902	0.58034659	1.54093209	1.34992913
