	Cis_wide	Cis_narrow	Trans_wide	Trans_narrow
5096	0.83828410	0.55644245	1.66245085	1.40216537
5161	0.81746160	0.54831813	1.64662089	1.42432037
5226	0.83167165	0.56889622	1.64792049	1.40074995
5291	0.83483335	0.55512756	1.67131719	1.43131536
5356	0.83071084	0.56362243	1.66283456	1.40887664
5421	0.82984067	0.55630343	1.67692358	1.43221230
5486	0.83871801	0.57380130	1.66340263	1.41486634
5552	0.84267668	0.56935601	1.65537105	1.41392410
5617	0.84602826	0.57030671	1.66739899	1.42742806
5682	0.82359160	0.56886510	1.67401649	1.42621123
5747	0.84149699	0.56679173	1.65707070	1.40838972
5812	0.83771436	0.56494772	1.66161807	1.41143844
5877	0.83440842	0.56085154	1.65247332	1.42651868
5942	0.83050866	0.56928659	1.64363462	1.40861753
6007	0.84038574	0.56360252	1.65661446	1.41865253
6072	0.84992795	0.56626566	1.65171515	1.40691224
6137	0.83608361	0.56876953	1.65696384	1.42053934
6202	0.84478149	0.57245026	1.66410634	1.42312247
6267	0.84702603	0.57707711	1.64309949	1.39922107
6332	0.83968152	0.57675141	1.63979448	1.40499713
6398	0.82496075	0.56023121	1.64024491	1.40222226
6463	0.82159074	0.54883536	1.67322958	1.42144433
6528	0.84198286	0.57040088	1.66279939	1.42599009
6593	0.83894530	0.56413758	1.67556322	1.42004599
6658	0.82270387	0.56842409	1.65991767	1.41454255
6723	0.83819571	0.56407928	1.67594043	1.44248231
6788	0.83141061	0.55972141	1.64815560	1.40514920
6853	0.83875695	0.56497035	1.64630854	1.40025971
6918	0.83510080	0.57423497	1.66220677	1.42176512
6983	0.84472197	0.58224684	1.65592765	1.41785069
7048	0.85186783	0.57629358	1.67195293	1.43501299
7113	0.82952085	0.56187284	1.62684131	1.39459374
7178	0.82924760	0.56291666	1.68654905	1.43460752
7243	0.81900562	0.55270688	1.65451378	1.41958748
7308	0.82034657	0.57182265	1.65931368	1.41504941
7373	0.81873017	0.55217726	1.63371741	1.40257689
7438	0.83074149	0.56379580	1.67149592	1.41922352
7503	0.82959504	0.57565950	1.67229219	1.42245685
7568	0.84342184	0.56570402	1.66294494	1.42745788
7633	0.83796476	0.56507331	1.65151906	1.41824566
7698	0.85249382	0.57701729	1.66445889	1.41606969
7763	0.84070533	0.56600382	1.67114084	1.42370191
7828	0.83441781	0.55547843	1.65202942	1.41669693
7894	0.82832028	0.57908538	1.66607753	1.43186186
7959	0.83524717	0.57302662	1.64915980	1.41595747
8024	0.84277272	0.56614789	1.67006860	1.42486822
8089	0.83840147	0.57299748	1.64872907	1.40681636
8154	0.82957177	0.56303170	1.66150349	1.41463832
8219	0.84418757	0.56987162	1.64982874	1.40621129
8284	0.85001384	0.57033222	1.68527780	1.42938683
8349	0.84875542	0.56946357	1.65915136	1.41882508
8415	0.83880126	0.56472327	1.67267816	1.42089462
8480	0.85352870	0.57906093	1.65489919	1.41389674
8545	0.81257222	0.56326951	1.61112200	1.38600767
8610	0.84549736	0.57223394	1.65574421	1.40486296
