Time	Trans	Cis
0	8984839.25	2551017.68
0	8957212.04	2603802.16
0	9006698.18	2588924.54
0	8918254.40	2520422.93
435	7457508.63	1289376.83
564	7405393.86	1283970.54
693	7305363.23	1362184.30
823	7385660.64	1486365.09
952	7322255.06	1505894.52
1081	7221449.42	1541446.26
1210	7173433.05	1654950.46
1339	7160092.84	1638094.42
1468	7021188.81	1612978.91
1597	7054761.85	1655873.14
1726	6990103.39	1619995.95
1855	6968272.20	1651008.09
1984	6971744.48	1720045.91
2113	7026206.67	1739478.48
2243	7067555.88	1819326.59
2372	6860456.32	1703840.14
2501	6922039.60	1786015.06
2630	6865156.52	1735029.24
2759	6914184.82	1828881.60
2888	6987807.98	1808894.25
3017	6866793.17	1832630.43
3146	6866515.34	1734937.50
3275	6776774.72	1753787.71
3404	6827600.36	1829676.15
3534	6818431.75	1848613.68
3663	6856473.50	1799674.65
3792	6926313.13	1838636.88
3921	6833611.18	1840569.51
4050	6877121.83	1895213.33
4179	6842886.20	1869416.46
4308	6873245.07	1827182.90
4437	6840615.20	1878464.27
4566	6883651.43	1911643.25
4695	6856234.64	1869547.52
4824	6866430.39	1857562.91
4953	6801944.35	1923713.94
5082	6779212.77	1797242.91
5211	6856090.08	1907932.33
5341	6899798.69	1905752.66
5470	6776143.97	1863571.57
5599	6968310.34	1986195.42
5728	6786067.05	1893898.72
5857	6819751.21	1825418.96
5986	6785847.77	1870144.51
6115	6846695.11	1832642.62
6244	6914437.49	1842405.26
6373	6911653.91	1877087.98
6503	6953470.16	1930801.08
6631	6849310.57	1823957.94
6761	6853264.69	1913342.09
6890	6877679.98	1893162.74
7019	6926370.98	1917537.64
7148	6880772.86	1887880.50
7277	6808062.15	1794872.43
7406	6872951.21	1858459.90
7535	6984322.27	1992933.36
7664	6867960.70	1919866.00
7793	6868730.73	1905001.39
7922	6997511.59	1947227.76
8051	6946791.91	1896718.84
8180	6963880.76	1970102.90
8310	7000416.43	1945687.54
8439	6906476.24	1892344.81
8568	6865261.77	1829257.33
8697	6959221.88	1941769.50
8826	6851274.79	1868223.68
8955	6911932.47	1950402.01
9084	6844491.73	1821010.03
9213	6988379.36	1923891.54
9342	6937325.91	1908665.89
9471	6909327.30	1888842.02
9600	6833895.64	1876270.01
9729	6921002.16	1861314.03
9858	6837978.75	1806705.19
9988	6778879.06	1888381.26
10117	6902660.74	1924459.63
10246	6856628.75	1875195.66
10375	6852693.53	1920587.25
10504	6812659.74	1983201.03
10633	6876422.73	1823097.26
10762	6913432.12	1925706.19
10891	6840083.70	1909237.36
11020	6873909.28	1847092.97
11149	6948656.77	1937934.41
11278	6933269.14	1926984.65
11407	6833693.39	1854508.93
11536	6789294.05	1886251.14
11665	6962758.41	1950651.70
11795	6804157.75	1844163.39
11924	6785538.34	1897582.95
12053	6854907.12	1855498.59
12182	6895424.35	1856383.63
12311	6862653.65	1926057.93
12440	6888401.98	1889317.01
12569	6932538.15	1922696.20
12698	6877065.48	1935696.41
12827	6866344.97	1893911.79
12956	6810252.51	1888385.76
13085	6938564.65	1921802.15
13214	6948502.14	1956757.50
13343	6832395.09	1806855.59
13473	6869888.36	1884989.86
13602	6873875.38	1872795.03
13731	6874834.85	1926978.53
13860	6987994.81	1950842.09
13989	6856510.93	1877225.58
14118	6935187.83	1923348.83
14247	6927538.10	1897944.62
14376	6938144.17	1931569.84
14506	6921697.99	1927951.43
14635	6814279.68	1806937.79
14764	6828085.55	1889015.43
14893	6908894.59	1937872.67
15022	6830347.91	1827079.29
15151	6964164.29	1946259.52
15280	6845557.03	1941320.42
15409	6958785.41	1949079.21
15538	6843402.02	1906541.41
15667	6793131.74	1888444.31
15796	6920620.48	1964774.46
