x,[cell],[syringe],n_injmass,V_inj,Included,20240612_1mM_syr_run3.itc_peak,20240612_1mM_syr_run3.itc_fit
0.0232522453453748,0.000112727515762524,2.62116785368481E-06,5.43499998627794E-10,4.99999998737621E-07,0,-10431.9478576127,-18421.8188362358
0.116821927065779,0.00011164411045653,1.30424801290765E-05,2.17399999451118E-09,1.99999999495049E-06,1,-19178.9742673709,-18260.5400417523
0.211288729328433,0.000110571055331575,2.33624177815123E-05,2.17399999451118E-09,1.99999999495049E-06,1,-17431.1279279515,-17903.8872875822
0.306652652133334,0.000109508202773967,3.35809808109921E-05,2.17399999451118E-09,1.99999999495049E-06,1,-16633.0735179348,-17339.5792112363
0.402913695480485,0.000108455407963745,4.36981692175159E-05,2.17399999451118E-09,1.99999999495049E-06,1,-16674.8006664045,-16409.7770977117
0.500071859369884,0.000107412528808892,5.37139830010838E-05,2.17399999451118E-09,1.99999999495049E-06,1,-14800.651701352,-14852.1802340081
0.598127143801532,0.000106379425881412,6.36284221616957E-05,2.17399999451118E-09,1.99999999495049E-06,1,-12327.2101523456,-12387.1764810063
0.697079548775428,0.000105355962355182,7.34414866993515E-05,2.17399999451118E-09,1.99999999495049E-06,1,-9266.03923632214,-9160.9932652657
0.796929074291573,0.000104342003945546,8.31531766140515E-05,2.17399999451118E-09,1.99999999495049E-06,1,-6338.66277259271,-6052.63378834209
0.897675720349967,0.000103337418850574,9.27634919057954E-05,2.17399999451118E-09,1.99999999495049E-06,1,-3608.08021262269,-3814.95368555887
0.999319486950609,0.000102342077693956,0.000102272432574583,2.17399999451118E-09,1.99999999495049E-06,1,-2112.46428212636,-2444.43351957014
1.1018603740935,0.000101355853469451,0.000111679998620415,2.17399999451118E-09,1.99999999495049E-06,1,-1623.1611515471,-1635.70578871118
1.20529838177864,0.000100378621486867,0.000120986190043291,2.17399999451118E-09,1.99999999495049E-06,1,-1033.55924621568,-1146.31879595968
1.30963351000603,9.94102593195041E-05,0.000130191006843212,2.17399999451118E-09,1.99999999495049E-06,1,-814.671398430833,-836.733504717677
1.41486575877566,9.84506467530264E-05,0.000139294449020176,2.17399999451118E-09,1.99999999495049E-06,1,-824.308528146996,-631.749490031487
1.52099512808755,9.74996657357128E-05,0.000148296516574184,2.17399999451118E-09,1.99999999495049E-06,1,-494.617116272748,-490.311081802654
1.62802161794168,9.6557200330043E-05,0.000157197209505236,2.17399999451118E-09,1.99999999495049E-06,1,-325.878655863975,-389.161274356676
1.73594522833807,9.56231366655798E-05,0.000165996527813332,2.17399999451118E-09,1.99999999495049E-06,1,-485.179121551588,-314.562340401869
1.8447659592767,9.46973628931049E-05,0.000174694471498472,2.17399999451118E-09,1.99999999495049E-06,1,-356.302801613159,-258.066071340095
