x,[cell],[syringe],n_injmass,V_inj,Included,20240611_1mM_syr_run1.itc_peak,20240611_1mM_syr_run1.itc_fit
0.025264457821232,0.000103749222414819,2.62116785368481E-06,5.43499998627794E-10,4.99999998737621E-07,0,-9958.94155300405,-16903.8262168896
0.12693151156413,0.000102752105985022,1.30424801290765E-05,2.17399999451118E-09,1.99999999495049E-06,1,-16259.3837003298,-16770.9760225723
0.229573321239779,0.000101764515385964,2.33624177815123E-05,2.17399999451118E-09,1.99999999495049E-06,1,-16352.4274349909,-16464.9833118755
0.33318988684818,0.000100786314760788,3.35809808109921E-05,2.17399999451118E-09,1.99999999495049E-06,1,-16356.0871680503,-15947.677966736
0.437781208389333,9.98173708238607E-05,4.36981692175159E-05,2.17399999451118E-09,1.99999999495049E-06,1,-14766.6535538577,-15017.9018817439
0.543347285863238,9.88575528002246E-05,5.37139830010838E-05,2.17399999451118E-09,1.99999999495049E-06,1,-13577.8695091916,-13298.8948155277
0.649888119269894,9.79067323667618E-05,6.36284221616957E-05,2.17399999451118E-09,1.99999999495049E-06,1,-10213.0779683078,-10409.8865516384
0.757403708609302,9.69647835950002E-05,7.34414866993515E-05,2.17399999451118E-09,1.99999999495049E-06,1,-6608.44924348413,-6853.4600997029
0.865894053881461,9.60315828955155E-05,8.31531766140515E-05,2.17399999451118E-09,1.99999999495049E-06,1,-4210.91159564035,-4010.64830218644
0.975359155086372,9.51070089638732E-05,9.27634919057954E-05,2.17399999451118E-09,1.99999999495049E-06,1,-2394.59210249802,-2342.16127447732
1.08579901222403,9.41909427280648E-05,0.000102272432574583,2.17399999451118E-09,1.99999999495049E-06,1,-1536.36796602888,-1450.0776651876
1.19721362529445,9.32832672973867E-05,0.000111679998620415,2.17399999451118E-09,1.99999999495049E-06,1,-1162.7948989112,-958.708141202657
1.30960299429762,9.23838679127184E-05,0.000120986190043291,2.17399999451118E-09,1.99999999495049E-06,1,-713.161467420552,-670.284929420919
1.42296711923353,9.14926318981549E-05,0.000130191006843212,2.17399999451118E-09,1.99999999495049E-06,1,-503.239714620805,-489.944572947598
1.5373060001022,9.06094486139488E-05,0.000139294449020176,2.17399999451118E-09,1.99999999495049E-06,1,-501.9553775732,-370.861135610039
1.65261963690362,8.97342094107236E-05,0.000148296516574184,2.17399999451118E-09,1.99999999495049E-06,1,-270.173120511065,-288.562846391926
1.7689080296378,8.88668075849165E-05,0.000157197209505236,2.17399999451118E-09,1.99999999495049E-06,1,-258.168961799676,-229.487198365314
1.88617117830472,8.80071383354128E-05,0.000165996527813332,2.17399999451118E-09,1.99999999495049E-06,1,-103.226038355662,-185.707280821008
2.0044090829044,8.71550987213345E-05,0.000174694471498472,2.17399999451118E-09,1.99999999495049E-06,1,81.1127244977936,-152.370168545622
