Time	Trans	Cis
0	1.20507299e+007	4726383.180
0	1.20047177e+007	4716018.830
0	1.20999178e+007	4753308.270
0	1.21045486e+007	4774577.700
0	1.19313297e+007	4608560.060
0	1.20154839e+007	4750458.730
0	1.19268026e+007	4620934.830
0	1.20428983e+007	4755890.070
0	1.17886480e+007	4524467.960
255	8561551.97000000	2372573.200
320	8722936.38000000	2432211.420
385	8622112.98000000	2418104.000
450	8480203.01000000	2390959.980
515	8468547.83000000	2421229.080
580	8367291.30000000	2397974.430
644	8461252.79000000	2545420.650
709	8411651.05000000	2564804.100
774	8264169.02000000	2460562.780
839	8333990.43000000	2548517.000
904	8243319.98000000	2480958.140
969	8281630.59000000	2571055.960
1033	8229738.57000000	2520510.390
1098	8282342.36000000	2667083.620
1163	8199662.01000000	2579317.880
1228	8204590.02000000	2618017.990
1293	8201902.82000000	2681894.860
1358	8290391.15000000	2789110.230
1422	8135301.69000000	2632082.480
1487	8227244.36000000	2757095.330
1552	8046746.21000000	2625344.180
1617	8214595.09000000	2846415.930
1682	8069482.80000000	2643429.410
1747	8120626.62000000	2752942.350
1811	8120519.48000000	2730477.120
1876	8047830.02000000	2674265.630
1941	8132821.73000000	2813520.480
2006	7997740.66000000	2652817.660
2071	8213874.31000000	2933072.350
2136	8162096.11000000	2893929.660
2201	8147647.89000000	2843348.170
2266	8054605.84000000	2766372.690
2331	8109832.76000000	2885590.160
2395	8049134.70000000	2785105.990
2460	8036224.60000000	2804565.190
2525	8067423.85000000	2827148.820
2590	8069398.65000000	2798471.870
2655	8107556.94000000	2851643.610
2720	8056409.90000000	2841344.370
2785	7986191.26000000	2810888.540
2850	8006680.73000000	2816587.930
2914	7950525.14000000	2746783.560
2979	8039416.65000000	2848717.390
3044	8129836.89000000	2911169.550
3109	7981685.64000000	2791983.170
3174	8097510.77000000	2983853.450
3239	8064041.96000000	2861333.100
3304	8076915.17000000	2902871.120
3369	8087530.24000000	2978542.380
3433	8022365.25000000	2846809.640
3498	8086314.07000000	2891130.290
3563	7941515.48000000	2786675.690
3628	8007994.60000000	2848028.320
3693	7937114.27000000	2804967.540
3758	7962661.39000000	2823435.380
3823	8070926.71000000	2932100.270
3888	8069654.33000000	2918770.480
3953	7968577.74000000	2810296.790
4017	8069939.79000000	2979598.440
4082	8048167.57000000	2901082.790
4147	8048354.49000000	2910529.940
4212	8026374.30000000	2880469.230
4277	7997155.07000000	2873197.540
4342	8109545.72000000	3000529.900
4407	8012054.58000000	2866476.890
4472	7960037.17000000	2816696.620
4536	7920274.02000000	2785421.410
4601	7976910.47000000	2820994.610
4666	7998877.72000000	2878818.280
4731	8032268.88000000	2884695.070
4796	7966621.32000000	2862909.960
4861	7954280.69000000	2817138.450
4925	8018009.22000000	2867251.110
4990	8029678.24000000	2939658.250
5055	7951049.22000000	2832290.400
5120	7905946.00000000	2747969.200
5185	7974805.92000000	2820731.940
5250	7937961.83000000	2821230.600
5315	8080971.57000000	2944627.450
5379	8028845.14000000	2962016.730
5444	7988557.85000000	2861126.200
5509	7969035.70000000	2864047.710
5574	7933795.69000000	2808998.810
5639	7981086.31000000	2888462.130
5704	7964873.10000000	2858749.970
5769	8023263.65000000	2908792.520
5834	8052191.14000000	2918265.510
5899	8092124.86000000	2996514.740
5964	7991212.36000000	2879764.530
6028	8071720.94000000	2971318.900
6093	7990047.64000000	2898747.630
6158	7909966.36000000	2831797.540
6223	7971979.70000000	2869371.570
6288	8015934.03000000	2886559.490
6353	7903092.48000000	2775639.010
6418	7966902.67000000	2829330.340
6482	7940921.78000000	2853183.790
6547	7955698.81000000	2826711.120
6612	7935095.10000000	2805200.080
6677	8000128.85000000	2885073.480
6742	8087169.31000000	3007334.860
6807	7906644.61000000	2814083.560
6872	7961521.53000000	2884957.160
6937	7876004.38000000	2786249.660
7001	7956872.01000000	2858642.450
7066	7952534.11000000	2827292.050
7131	7898556.50000000	2749863.520
7196	7918056.26000000	2790047.710
7261	7885224.75000000	2797393.620
7326	7946567.12000000	2836731.190
7391	8002916.24000000	2922802.780
7456	8021414.82000000	2939014.890
7521	7889816.13000000	2790244.130
7586	7960412.14000000	2869505.860
7650	7989660.55000000	2942307.180
7715	7911483.62000000	2816810.010
7780	7911763.10000000	2825552.870
7845	7963503.03000000	2864421.590
7910	7896350.49000000	2753474.500
7975	7929728.59000000	2822876.310
8040	7948708.27000000	2826570.810
8104	7891376.26000000	2777451.920
8169	7910068.22000000	2791070.350
8234	8101918.48000000	3011040.890
8299	7991757.04000000	2938621.370
8364	7928319.23000000	2821547.110
8429	7974749.35000000	2847139.690
8494	8012251.19000000	2904582.820
8559	7940013.92000000	2799866.290
8624	7912745.53000000	2814872.550
8688	7942674.44000000	2818368.530
8753	7991675.02000000	2929387.460
8818	8005135.24000000	2902535.610
8883	7972900.87000000	2858493.580
8948	8012220.62000000	2844852.700
9013	7968933.80000000	2888556.290
9078	7971116.96000000	2859553.490
9143	7993233.08000000	2947394.410
9208	7889442.13000000	2802741.410
9272	8023280.04000000	2918082.710
9337	7988891.70000000	2880711.890
9402	7857829.13000000	2791520.090
9467	7890092.58000000	2783289.030
9532	7996787.75000000	2889651.950
9597	7984833.43000000	2889127.330
9662	7868090.61000000	2738690.890
9727	7946305.55000000	2885191.930
9791	7915514.75000000	2766562.630
9856	8058147.76000000	2967530.990
9921	8028977.99000000	2906966.850
9986	7967484.57000000	2906083.990
10051	7972314.16000000	2886396.830
10116	7987330.39000000	2939971.700
10181	7914061.63000000	2822423.230
10245	7937966.97000000	2888848.680
10310	7912899.18000000	2782420.240
10375	7938477.61000000	2891805.710
10440	7950923.24000000	2856733.890
10505	7989855.93000000	2863118.810
10570	8009824.61000000	2900380.080
10635	7901757.10000000	2805245.340
10699	8019961.04000000	2947779.530
10764	8078220.41000000	2983492.080
10829	7999024.10000000	2877892.950
10894	8005185.55000000	2927264.120
10959	7904452.02000000	2760094.650
11023	7925764.20000000	2816395.920
11088	7892608.91000000	2799559.860
