Time	Trans	Cis
11153	7977333.75000000	2862384.590
11218	7888342.74000000	2826603.230
11283	7993888.38000000	2864955.660
11348	7858264.11000000	2781399.550
11413	7887283.21000000	2806322.860
11478	7898764.09000000	2866816.190
11543	7904806.40000000	2787168.960
11608	8001171.44000000	2881245.910
11672	7997951.86000000	2921927.120
11737	7979379.35000000	2920488.790
11802	7987379.78000000	2887704.720
11867	7927738.05000000	2849632.690
11932	7988391.80000000	2885912.250
11997	7907262.08000000	2808413.740
12061	7822414.95000000	2686071.190
12126	7983298.87000000	2896807.150
12191	7996621.99000000	2921421.870
12256	7932535.77000000	2895290.490
12321	8025832.35000000	2960345.450
12386	8002096.66000000	2922313.820
12451	7977218.18000000	2898701.640
12516	7935776.57000000	2832844.870
12581	7938969.68000000	2826120.620
12646	7856209.30000000	2794820.270
12710	7991283.39000000	2933088.860
12775	7973212.92000000	2907577.850
12840	8003730.73000000	2914782.710
12905	7933353.48000000	2849540.060
12970	7974087.46000000	2876023.370
13035	7993381.36000000	2905512.220
13100	7917908.05000000	2851021.860
13164	7930114.29000000	2830144.930
63832	7636781.32000000	2714627.960
63901	7716813.83000000	2792595.000
63970	7713014.60000000	2773430.970
64038	7736179.58000000	2795675.710
64107	7602543.04000000	2656179.700
64175	7663412.91000000	2764048.500
64244	7663522.85000000	2726769.800
64312	7777926.76000000	2845077.450
64381	7749164.12000000	2850246.250
64450	7664191.43000000	2712061.750
