Time	Trans	Cis
255.000	661.288	183.256
320.000	673.753	187.862
385.000	665.965	186.773
450.000	655.004	184.676
515.000	654.104	187.014
580.000	646.283	185.218
644.000	653.541	196.606
709.000	649.710	198.104
774.000	638.318	190.052
839.000	643.711	196.846
904.000	636.708	191.627
969.000	639.667	198.586
1033.000	635.659	194.682
1098.000	639.722	206.004
1163.000	633.336	199.225
1228.000	633.716	202.214
1293.000	633.509	207.148
1358.000	640.344	215.429
1422.000	628.365	203.300
1487.000	635.466	212.956
1552.000	621.525	202.780
1617.000	634.489	219.855
1682.000	623.281	204.176
1747.000	627.231	212.635
1811.000	627.223	210.900
1876.000	621.608	206.558
1941.000	628.173	217.314
2006.000	617.739	204.902
2071.000	634.433	226.548
2136.000	630.434	223.525
2201.000	629.318	219.618
2266.000	622.132	213.673
2331.000	626.397	222.881
2395.000	621.709	215.119
2460.000	620.712	216.622
2525.000	623.122	218.367
2590.000	623.274	216.152
2655.000	626.222	220.259
2720.000	622.271	219.463
2785.000	616.847	217.111
2850.000	618.430	217.551
2914.000	614.093	212.159
2979.000	620.958	220.033
3044.000	627.942	224.857
3109.000	616.499	215.651
3174.000	625.446	230.471
3239.000	622.860	221.007
3304.000	623.855	224.216
3369.000	624.675	230.060
3433.000	619.641	219.885
3498.000	624.581	223.309
3563.000	613.397	215.241
3628.000	618.531	219.980
3693.000	613.057	216.654
3758.000	615.030	218.080
3823.000	623.392	226.473
3888.000	623.294	225.444
3953.000	615.487	217.065
4017.000	623.316	230.142
4082.000	621.634	224.077
4147.000	621.649	224.807
4212.000	619.951	222.485
4277.000	617.694	221.924
4342.000	626.375	231.759
4407.000	618.845	221.404
4472.000	614.827	217.560
4536.000	611.756	215.144
4601.000	616.131	217.891
4666.000	617.827	222.358
4731.000	620.406	222.812
4796.000	615.336	221.129
4861.000	614.383	217.594
4925.000	619.305	221.464
4990.000	620.206	227.057
5055.000	614.133	218.764
5120.000	610.649	212.251
5185.000	615.968	217.871
5250.000	613.122	217.910
5315.000	624.168	227.441
5379.000	620.142	228.784
5444.000	617.030	220.991
5509.000	615.522	221.217
5574.000	612.800	216.965
5639.000	616.453	223.103
5704.000	615.201	220.808
5769.000	619.711	224.673
5834.000	621.945	225.405
5899.000	625.030	231.449
5964.000	617.235	222.431
6028.000	623.454	229.502
6093.000	617.145	223.897
6158.000	610.960	218.726
6223.000	615.750	221.628
6288.000	619.145	222.956
6353.000	610.429	214.388
6418.000	615.358	218.535
6482.000	613.351	220.378
6547.000	614.492	218.333
6612.000	612.901	216.672
6677.000	617.924	222.841
6742.000	624.647	232.284
6807.000	610.703	217.358
6872.000	614.942	222.832
6937.000	608.337	215.208
7001.000	614.583	220.799
7066.000	614.248	218.378
7131.000	610.079	212.397
7196.000	611.585	215.501
7261.000	609.049	216.069
7326.000	613.787	219.107
7391.000	618.139	225.755
7456.000	619.568	227.007
7521.000	609.403	215.516
7586.000	614.856	221.638
7650.000	617.115	227.262
7715.000	611.077	217.568
7780.000	611.099	218.244
7845.000	615.095	221.246
7910.000	609.908	212.676
7975.000	612.486	218.037
8040.000	613.952	218.322
8104.000	609.524	214.528
8169.000	610.968	215.580
8234.000	625.786	232.571
8299.000	617.277	226.977
8364.000	612.377	217.934
8429.000	615.964	219.911
8494.000	618.860	224.348
8559.000	613.281	216.260
8624.000	611.174	217.419
8688.000	613.486	217.689
8753.000	617.271	226.264
8818.000	618.311	224.190
8883.000	615.821	220.788
8948.000	618.858	219.734
9013.000	615.514	223.110
9078.000	615.683	220.870
9143.000	617.391	227.655
9208.000	609.375	216.482
9272.000	619.712	225.390
9337.000	617.056	222.504
9402.000	606.933	215.615
9467.000	609.425	214.979
9532.000	617.666	223.195
9597.000	616.742	223.154
9662.000	607.725	211.534
9727.000	613.767	222.850
9791.000	611.388	213.687
9856.000	622.405	229.210
9921.000	620.152	224.532
9986.000	615.402	224.464
10051.000	615.775	222.943
10116.000	616.935	227.081
10181.000	611.276	218.002
10245.000	613.123	223.132
10310.000	611.186	214.912
10375.000	613.162	223.361
10440.000	614.123	220.652
10505.000	617.130	221.145
10570.000	618.673	224.023
10635.000	610.326	216.675
10699.000	619.456	227.684
10764.000	623.956	230.443
10829.000	617.839	222.286
10894.000	618.314	226.100
10959.000	610.534	213.188
11023.000	612.180	217.536
11088.000	609.619	216.236
11153.000	616.163	221.088
11218.000	609.290	218.325
11283.000	617.442	221.287
11348.000	606.966	214.833
11413.000	609.208	216.758
11478.000	610.095	221.431
11543.000	610.561	215.279
11608.000	618.004	222.545
11672.000	617.756	225.687
11737.000	616.321	225.576
11802.000	616.939	223.044
11867.000	612.332	220.103
11932.000	617.017	222.906
11997.000	610.751	216.920
12061.000	604.197	207.470
12126.000	616.624	223.747
12191.000	617.653	225.648
12256.000	612.703	223.630
12321.000	619.909	228.655
12386.000	618.076	225.717
12451.000	616.154	223.894
12516.000	612.953	218.807
12581.000	613.200	218.287
12646.000	606.808	215.870
12710.000	617.241	226.550
12775.000	615.845	224.579
12840.000	618.202	225.136
12905.000	612.766	220.096
12970.000	615.912	222.142
13035.000	617.403	224.420
13100.000	611.573	220.211
13164.000	612.516	218.598
